Ranking Section,Item Name,Internal Category,Score (Worst to Best),Assigned Group
--- WEAPONS ---,,,,
,KOD_M32_Tan,weapons,32.8714,TIER 3 / MILITARY
,KOD_M32_Black,weapons,32.8714,TIER 3 / MILITARY
,P1,weapons,82.7782,TIER 1 & 2
,MakarovPB,weapons,84.0933,TIER 1 & 2
,KOD_KS23,weapons,93.8500,TIER 3 / MILITARY
,Pumpkin,weapons,100.0000,CONSTRUCTION & SPARE PARTS
,SlicedPumpkin,weapons,100.0000,CONSTRUCTION & SPARE PARTS
,HumanSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,GoatSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,MouflonSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,BoarSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,PigSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,DeerSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,ReindeerSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,WolfSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,BearSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,CowSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,SheepSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,FoxSteakMeat,weapons,100.0000,TIER 3 / MILITARY
,AugOptic,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Anarchy,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Bang,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Cat,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Cat2,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Cats,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Cat3,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Clown,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Oni,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Dog,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Eyes,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl2,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl3,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl4,weapons,100.0010,TIER 3 / MILITARY
,KOD_Sticker_Girl5,weapons,100.0010,TIER 3 / MILITARY
